time,vx,vy,vz
0.760000,12.188046,5.698803,0.941830
0.761250,11.638976,6.190554,1.077660
0.762500,10.969687,6.617757,1.129167
0.763750,10.321257,6.899328,1.130984
0.765000,9.796524,7.079009,1.050652
0.766250,9.310214,7.175423,0.895092
0.767500,8.829229,7.124574,0.620110
0.768750,8.268940,6.878219,0.172355
0.770000,7.688735,6.495413,-0.286007
0.771250,7.254123,6.256477,-0.664169
0.772500,6.928490,6.087099,-0.997706
0.773750,6.622529,5.895876,-1.453096
0.775000,6.427857,5.638646,-1.916773
0.776250,6.379223,5.519892,-2.183418
0.777500,6.392292,5.612011,-2.284160
0.778750,6.490332,5.740262,-2.227628
0.780000,6.671880,5.960980,-2.003322
0.781250,6.982861,6.248657,-1.707953
0.782500,7.440948,6.597193,-1.251239
0.783750,8.015151,6.901405,-0.668634
0.785000,8.647117,7.204192,-0.160206
0.786250,9.349628,7.361097,0.267199
0.787500,10.065637,7.308740,0.575939
0.788750,10.690866,7.269049,0.713862
0.790000,11.300760,7.140530,0.621873
0.791250,11.869465,6.862757,0.489714
0.792500,12.286302,6.488521,0.354783
0.793750,12.684753,6.067461,0.163754
0.795000,13.180370,5.765614,0.082942
0.796250,13.537612,5.571091,0.225444
0.797500,13.763135,5.332391,0.479135
0.798750,13.966184,5.328716,0.775072
0.800000,13.908800,5.463945,1.114953
0.801250,13.587603,5.692961,1.547270
0.802500,13.159969,6.141962,2.080516
0.803750,12.803950,6.552655,2.668472
0.805000,12.526321,6.912557,3.264900
0.806250,12.163206,7.171455,3.819197
0.807500,11.614789,7.366604,4.274820
0.808750,11.040126,7.492223,4.631708
0.810000,10.609695,7.429258,4.796143
0.811250,10.187341,7.255090,4.601637
0.812500,9.755437,6.941743,4.333461
0.813750,9.241692,6.606220,4.067127
0.815000,8.764886,6.281915,3.735869
0.816250,8.489223,5.797167,3.514856
0.817500,8.269736,5.423706,3.288602
0.818750,8.224662,5.160830,3.088854
0.820000,8.175278,5.001954,3.139309
0.821250,8.119533,5.037611,3.286192
0.822500,8.308547,5.221028,3.530154
0.823750,8.551408,5.567486,3.788195
0.825000,8.962033,6.028326,4.046594
0.826250,9.484639,6.473341,4.390387
0.827500,9.918993,6.818601,4.525366
0.828750,10.444101,7.105320,4.519793
0.830000,10.920793,7.346463,4.555987
0.831250,11.415608,7.402767,4.440791
0.832500,12.114586,7.166064,4.051566
0.833750,12.633865,6.850373,3.678135
0.835000,13.131104,6.565425,3.290069
0.836250,13.611394,6.306626,2.748886
0.837500,13.968805,5.972404,2.181395
0.838750,14.363328,5.598384,1.661301
0.840000,14.529676,5.335339,1.142193
0.841250,14.694891,5.218880,0.695174
0.842500,14.883567,5.183042,0.509273
0.843750,14.824141,5.265318,0.468813
0.845000,14.547675,5.472357,0.620439
0.846250,14.285433,5.805487,0.785538
0.847500,14.037169,6.174703,0.826314
0.848750,13.603351,6.544948,0.861443
0.850000,13.086223,6.833808,0.885628
0.851250,12.495328,6.908931,0.888999
0.852500,11.855821,6.891423,0.825128
0.853750,11.295118,6.703026,0.641548
